Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
A,3,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.936570632,0.021905884,0.147359682,6.430436908,35.60442514,111.7337764,41.4159874,70.31778905,1.227843697,0.455120741,0.772722957,103.5514577,1.137928107,92.67695144,0.98245614,56,0,0,1,34,0.01754386,1,1,0.98245614,0.991150442,0.976926796,1,1,0.967032967,0.006467491,0.993532509,0.032967033,0.96978022,0.967032967,0.968083244,0.953322073,0.998438318,0.983529014,0.918037802,0.967032967,0,0,0,0,0,0,68528,183750,52344,96.7032967,33.33333333,?,?,?,?
A,3,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978389931,0.01193497,0.094371867,3.526985884,22.97349518,110.5866366,30.04814727,80.53848935,1.215237765,0.330199421,0.885038344,107.1767764,1.177766773,96.91657116,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989269554,0.986923339,0.998669645,0.988814757,0.97124183,0.989010989,0,0,0,0,0,0,68528,183750,52344,98.9010989,34.06593407,?,?,?,?
A,3,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.957297044,0.014155644,0.114819218,4.183232697,27.95111341,110.5866366,58.17231071,52.41432591,1.215237765,0.639256162,0.575981603,106.2984766,1.168115127,96.1223524,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.996865204,0.998383621,0.978021978,0.001831502,0.998168498,0.021978022,0.982905983,0.978021978,0.979240091,0.967545702,0.997871176,0.997596154,0.948898835,0.978021978,0.016,0,0.015625,0,15.625,0,68528,183750,52344,98.9010989,33.6996337,?,?,?,?
A,3,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.95625,0.01246246,0.103574433,3.682868192,25.21372975,110.5866366,20.74848685,89.83814977,1.215237765,0.22800535,0.987232415,106.6218785,1.171668994,96.41479455,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,1,1,0.978021978,0.02022977,0.97977023,0.021978022,0.978208232,0.978021978,0.977961204,0.96534335,0.998969529,0.991890417,0.942996002,0.978021978,0,0,0,0,0,0,68528,183750,52344,98.9010989,33.6996337,?,?,?,?
A,3,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956583969,0.014687622,0.121041913,4.340441254,29.46594044,110.5866366,48.10720984,62.47942677,1.215237765,0.528650658,0.686587107,104.4964095,1.148312193,94.49280016,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978021978,0.005311355,0.994688645,0.021978022,0.978021978,0.978021978,0.978021978,0.972710623,0.99194743,0.974652002,0.93956044,0.978021978,0,0,0,0,0,0,68528,183750,52344,97.8021978,33.33333333,?,?,?,?
A,3,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.95625,0.01552854,0.11034361,4.588946695,26.86158984,110.5866366,1076.543666,-965.9570299,1.215237765,11.83015018,-10.61491242,104.2548246,1.145657414,94.27434256,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,0.976227795,0.969498432,0.978021978,0.02022977,0.97977023,0.021978022,0.978208232,0.978021978,0.977961204,0.96534335,0.973859474,0.970415737,0.942996002,0.978021978,0,0,0,0,0,0,68528,183750,52344,98.9010989,34.06593407,?,?,?,?
A,3,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.935169793,0.022757292,0.148119136,6.725165623,36.05750694,110.5866366,101.3949173,9.191719318,1.215237765,1.11422986,0.101007905,102.2326279,1.123435471,92.44573394,0.982758621,57,0.03030303,1,0.96969697,32,0.017241379,1,0.982758621,0.982758621,0.982758621,0.95245559,0.995297806,0.997543491,0.967032967,0.021145521,0.978854479,0.032967033,0.96978022,0.967032967,0.968024133,0.945417541,0.994517387,0.973787531,0.921050259,0.967032967,0,0,0,0,0,0,68528,183750,52344,96.7032967,33.6996337,?,?,?,?
A,3,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956779862,0.014748927,0.121042892,4.358557874,29.46617877,110.5866366,194.6919183,-84.10528165,1.215237765,2.139471629,-0.924233864,106.1732163,1.166738641,96.00908353,0.982758621,57,0.03030303,1,0.96969697,32,0.017241379,1,0.982758621,0.982758621,0.982758621,0.95245559,0.995820272,0.997845971,0.978021978,0.02022977,0.97977023,0.021978022,0.979395604,0.978021978,0.978280543,0.956620308,0.994560568,0.976482548,0.965494704,0.978021978,0,0,0,0,0,0,68528,183750,52344,97.8021978,33.33333333,?,?,?,?
A,3,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,88,2,0,97.77777778,2.222222222,0,0.957091776,0.014955162,0.121094394,4.407337123,29.38738866,109.9297827,59.8780554,50.05172732,1.22144203,0.665311727,0.556130304,105.5063302,1.172292557,95.97611087,0.98245614,56,0,0,1,33,0.01754386,1,1,0.98245614,0.991150442,0.976504158,0.998936736,0.999405293,0.977777778,0.001874163,0.998125837,0.022222222,0.982716049,0.977777778,0.97900857,0.967306066,0.998791124,0.992573088,0.948847533,0.977777778,0.01,0,0.015625,0,15.625,0,68528,183931,52163,97.77777778,33.33333333,?,?,?,?
A,3,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,90,0,0,100,0,0,1,6.26E-04,0.006967245,0.184455236,1.6908225,109.9297827,0.126901566,109.8028812,1.22144203,0.001410017,1.220032013,109.8028812,1.220032013,99.88456125,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,68528,183931,52163,100,33.7037037,?,?,?,?
A,4,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.935658732,0.022113538,0.148205889,6.534925344,36.07862593,110.5866366,85.79683065,24.78980597,1.215237765,0.942822315,0.27241545,102.3687542,1.124931365,92.5688287,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.996865204,0.998383621,0.967032967,0.006227106,0.993772894,0.032967033,0.96978022,0.967032967,0.96808409,0.953135336,0.996186597,0.975401449,0.91761427,0.967032967,0,0,0,0,0,0,68528,183750,52344,96.7032967,33.33333333,?,?,?,?
A,4,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978552911,0.010534009,0.093101061,3.112978193,22.66413555,110.5866366,69.93303614,40.65360047,1.215237765,0.768494903,0.446742862,107.6587324,1.183062993,97.35238875,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.995820272,0.997910136,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989329511,0.979722719,0.996812711,0.99169521,0.974879227,0.989010989,0,0,0,0,0,0,68528,183750,52344,98.9010989,33.6996337,?,?,?,?
A,4,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956973995,0.015911877,0.120712428,4.702229297,29.38573181,110.5866366,27.0352836,83.55135302,1.215237765,0.297091029,0.918146736,105.7515522,1.162104969,95.62778595,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978021978,0.001831502,0.998168498,0.021978022,0.982905983,0.978021978,0.978956044,0.974767203,0.9982007,0.987016507,0.945,0.978021978,0.015,0,0.015625,0,15.625,0,68528,183750,52344,97.8021978,33.6996337,?,?,?,?
A,4,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956583969,0.014761384,0.120983796,4.362239107,29.45179273,110.5866366,76.53579306,34.05084356,1.215237765,0.841052671,0.374185094,104.6605662,1.150116112,94.64124181,0.982758621,57,0.03030303,1,0.96969697,32,0.017241379,1,0.982758621,0.982758621,0.982758621,0.95245559,0.996865204,0.998287907,0.978021978,0.02022977,0.97977023,0.021978022,0.978021978,0.978021978,0.978021978,0.957792208,0.99564721,0.990996688,0.946633826,0.978021978,0,0,0,0,0,0,68528,183750,52344,97.8021978,33.33333333,?,?,?,?
A,4,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.934673367,0.019050258,0.126480716,5.629674062,30.7899399,110.5866366,1079.13338,-968.5467429,1.215237765,11.85860857,-10.6433708,103.2535215,1.134654082,93.36889575,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,0.978056426,0.973388595,0.967032967,0.021145521,0.978854479,0.032967033,0.969966474,0.967032967,0.967739269,0.952989565,0.974790503,0.970918323,0.917150997,0.967032967,0,0,0,0,0,0,68528,183750,52344,98.9010989,34.43223443,?,?,?,?
A,4,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978389931,0.009105196,0.087800233,2.690739691,21.37372401,110.5866366,27.31250172,83.2741349,1.215237765,0.300137382,0.915100384,107.9051439,1.185770812,97.57521087,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989269554,0.986923339,0.998577064,0.979985655,0.97124183,0.989010989,0,0,0,0,0,0,68528,183750,52344,98.9010989,33.6996337,?,?,?,?
A,4,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978125,0.007333758,0.085583735,2.167249793,20.83414888,110.5866366,140.7628556,-30.17621895,1.215237765,1.546844567,-0.331606802,108.2986174,1.190094697,97.93101656,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,1,1,0.989010989,0.019314019,0.980685981,0.010989011,0.989197243,0.989010989,0.988950215,0.977248112,0.998140321,0.996732997,0.990615049,0.989010989,0,0,0,0,0,0,68528,183750,52344,98.9010989,33.33333333,?,?,?,?
A,4,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956912879,0.01758967,0.119206967,5.163419373,28.80228473,111.7337764,35.9754468,75.75832964,1.227843697,0.39533458,0.832509117,105.4879506,1.159208248,94.41008257,1,57,0.029411765,1,0.970588235,33,0,0,0.982758621,1,0.991304348,0.976654471,1,1,0.978021978,0.019338505,0.980661495,0.021978022,0.978211444,0.978021978,0.977966086,0.965677519,0.998135793,0.977781435,0.943193093,0.978021978,0,0,0,0,0,0,68528,183750,52344,98.9010989,34.43223443,?,?,?,?
